lang,mean_clcs,n_pairs
bg,0.6491583209034733,26
lv,0.6833581930534839,26
hi,0.7058384828467931,26
fi,0.7058384828467931,26
sr,0.711272107393991,26
hu,0.7277860643511613,26
sl,0.7378009801832517,26
bs,0.7416364798636267,26
ar,0.7551672704027275,26
zh,0.7558065203494567,26
uk,0.7567653952695503,26
hr,0.7575111868740678,26
da,0.7653952695503942,26
sv,0.7679522693373109,26
ru,0.7784998934583421,26
cs,0.7845727679522694,26
he,0.7878755593437035,26
el,0.788727892606009,26
ro,0.7896867675261028,26
pl,0.7919241423396548,26
id,0.7927764756019603,26
de,0.7989558917536758,26
es,0.8028979330918389,26
it,0.8042829746430855,26
pt,0.8047091412742382,26
fr,0.8090773492435542,26
nl,0.8119539740038355,26
