,ar,bg,bs,cs,da,de,el,es,fi,fr,he,hi,hr,hu,id,it,lv,nl,pl,pt,ro,ru,sl,sr,sv,uk,zh
ar,1.0,0.6454293628808865,0.703601108033241,0.7617728531855956,0.7285318559556787,0.7950138504155124,0.8033240997229917,0.8005540166204986,0.6952908587257618,0.8088642659279779,0.8060941828254847,0.7285318559556787,0.7313019390581718,0.703601108033241,0.778393351800554,0.8005540166204986,0.6648199445983379,0.7977839335180056,0.775623268698061,0.8060941828254847,0.8088642659279779,0.7839335180055401,0.7229916897506925,0.7091412742382271,0.7506925207756233,0.7645429362880887,0.7590027700831025
bg,0.6454293628808865,1.0,0.6398891966759003,0.6731301939058172,0.631578947368421,0.6620498614958449,0.6648199445983379,0.6620498614958449,0.6398891966759003,0.667590027700831,0.6537396121883656,0.6094182825484764,0.6398891966759003,0.6537396121883656,0.6703601108033241,0.6620498614958449,0.6371191135734072,0.6592797783933518,0.6537396121883656,0.6565096952908587,0.6565096952908587,0.6592797783933518,0.6232686980609419,0.6121883656509696,0.6620498614958449,0.6565096952908587,0.6260387811634349
bs,0.703601108033241,0.6398891966759003,1.0,0.7617728531855956,0.7673130193905817,0.7617728531855956,0.7534626038781164,0.778393351800554,0.7063711911357341,0.7728531855955678,0.7839335180055401,0.6925207756232687,0.8587257617728532,0.6980609418282548,0.7479224376731302,0.7479224376731302,0.6814404432132964,0.7617728531855956,0.7673130193905817,0.7590027700831025,0.7368421052631579,0.7340720221606648,0.7479224376731302,0.7340720221606648,0.7340720221606648,0.7368421052631579,0.7146814404432132
cs,0.7617728531855956,0.6731301939058172,0.7617728531855956,1.0,0.778393351800554,0.8033240997229917,0.817174515235457,0.8559556786703602,0.7313019390581718,0.8254847645429363,0.8116343490304709,0.7202216066481995,0.7867036011080333,0.7340720221606648,0.8282548476454293,0.8421052631578947,0.6897506925207756,0.8421052631578947,0.8365650969529086,0.8448753462603878,0.814404432132964,0.8088642659279779,0.7811634349030471,0.7146814404432132,0.8005540166204986,0.7673130193905817,0.7673130193905817
da,0.7285318559556787,0.631578947368421,0.7673130193905817,0.778393351800554,1.0,0.817174515235457,0.7839335180055401,0.7950138504155124,0.7063711911357341,0.8088642659279779,0.775623268698061,0.7229916897506925,0.7590027700831025,0.7368421052631579,0.817174515235457,0.817174515235457,0.6703601108033241,0.8227146814404432,0.8088642659279779,0.8116343490304709,0.7977839335180056,0.7590027700831025,0.7479224376731302,0.7257617728531855,0.8033240997229917,0.7534626038781164,0.7534626038781164
de,0.7950138504155124,0.6620498614958449,0.7617728531855956,0.8033240997229917,0.817174515235457,1.0,0.8448753462603878,0.8559556786703602,0.7091412742382271,0.8642659279778393,0.8310249307479224,0.7368421052631579,0.7922437673130194,0.7700831024930748,0.8337950138504155,0.8614958448753463,0.6842105263157895,0.889196675900277,0.8337950138504155,0.8448753462603878,0.8365650969529086,0.814404432132964,0.739612188365651,0.739612188365651,0.8282548476454293,0.7977839335180056,0.8254847645429363
el,0.8033240997229917,0.6648199445983379,0.7534626038781164,0.817174515235457,0.7839335180055401,0.8448753462603878,1.0,0.8448753462603878,0.6952908587257618,0.8365650969529086,0.8088642659279779,0.7285318559556787,0.7645429362880887,0.7534626038781164,0.8393351800554016,0.8365650969529086,0.6952908587257618,0.8365650969529086,0.8393351800554016,0.8365650969529086,0.8227146814404432,0.853185595567867,0.7423822714681441,0.7174515235457064,0.7950138504155124,0.7977839335180056,0.7950138504155124
es,0.8005540166204986,0.6620498614958449,0.778393351800554,0.8559556786703602,0.7950138504155124,0.8559556786703602,0.8448753462603878,1.0,0.7313019390581718,0.8808864265927978,0.8365650969529086,0.7368421052631579,0.778393351800554,0.7479224376731302,0.8393351800554016,0.9002770083102493,0.6759002770083102,0.8836565096952909,0.8476454293628809,0.8864265927977839,0.8365650969529086,0.8088642659279779,0.7839335180055401,0.7229916897506925,0.8005540166204986,0.7811634349030471,0.8033240997229917
fi,0.6952908587257618,0.6398891966759003,0.7063711911357341,0.7313019390581718,0.7063711911357341,0.7091412742382271,0.6952908587257618,0.7313019390581718,1.0,0.7174515235457064,0.7174515235457064,0.6592797783933518,0.739612188365651,0.6925207756232687,0.7174515235457064,0.7368421052631579,0.6703601108033241,0.7340720221606648,0.7202216066481995,0.7285318559556787,0.7340720221606648,0.6925207756232687,0.7091412742382271,0.6731301939058172,0.7091412742382271,0.7008310249307479,0.6842105263157895
fr,0.8088642659279779,0.667590027700831,0.7728531855955678,0.8254847645429363,0.8088642659279779,0.8642659279778393,0.8365650969529086,0.8808864265927978,0.7174515235457064,1.0,0.8614958448753463,0.7590027700831025,0.817174515235457,0.7562326869806094,0.8476454293628809,0.8698060941828255,0.6842105263157895,0.889196675900277,0.850415512465374,0.889196675900277,0.8337950138504155,0.8393351800554016,0.778393351800554,0.7590027700831025,0.8060941828254847,0.8033240997229917,0.8088642659279779
he,0.8060941828254847,0.6537396121883656,0.7839335180055401,0.8116343490304709,0.775623268698061,0.8310249307479224,0.8088642659279779,0.8365650969529086,0.7174515235457064,0.8614958448753463,1.0,0.7285318559556787,0.775623268698061,0.7479224376731302,0.8199445983379502,0.8199445983379502,0.6897506925207756,0.8614958448753463,0.817174515235457,0.8282548476454293,0.814404432132964,0.817174515235457,0.7562326869806094,0.7506925207756233,0.778393351800554,0.775623268698061,0.817174515235457
hi,0.7285318559556787,0.6094182825484764,0.6925207756232687,0.7202216066481995,0.7229916897506925,0.7368421052631579,0.7285318559556787,0.7368421052631579,0.6592797783933518,0.7590027700831025,0.7285318559556787,1.0,0.7174515235457064,0.6343490304709142,0.739612188365651,0.7285318559556787,0.6204986149584487,0.7368421052631579,0.7091412742382271,0.7368421052631579,0.7063711911357341,0.7257617728531855,0.6869806094182825,0.667590027700831,0.6869806094182825,0.7423822714681441,0.6897506925207756
hr,0.7313019390581718,0.6398891966759003,0.8587257617728532,0.7867036011080333,0.7590027700831025,0.7922437673130194,0.7645429362880887,0.778393351800554,0.739612188365651,0.817174515235457,0.775623268698061,0.7174515235457064,1.0,0.7229916897506925,0.7590027700831025,0.7811634349030471,0.6897506925207756,0.7728531855955678,0.7728531855955678,0.8005540166204986,0.7617728531855956,0.7645429362880887,0.7811634349030471,0.7202216066481995,0.7617728531855956,0.7257617728531855,0.7202216066481995
