,ar,bg,bs,cs,da,de,el,es,fi,fr,he,hi,hr,hu,id,it,lv,nl,pl,pt,ro,ru,sl,sr,sv,uk,zh
ar,1.0,0.6057692307692307,0.625,0.657051282051282,0.6314102564102564,0.6410256410256411,0.6121794871794872,0.6474358974358975,0.5737179487179487,0.6410256410256411,0.6346153846153846,0.5833333333333334,0.6121794871794872,0.5705128205128205,0.6378205128205128,0.6378205128205128,0.6217948717948718,0.6378205128205128,0.592948717948718,0.6378205128205128,0.6089743589743589,0.6346153846153846,0.5801282051282052,0.625,0.6474358974358975,0.6089743589743589,0.6153846153846154
bg,0.6057692307692307,1.0,0.5737179487179487,0.5993589743589743,0.5897435897435898,0.6057692307692307,0.6057692307692307,0.5801282051282052,0.5480769230769231,0.6474358974358975,0.6153846153846154,0.5673076923076923,0.6025641025641025,0.5256410256410257,0.5961538461538461,0.592948717948718,0.5737179487179487,0.6185897435897436,0.6153846153846154,0.6217948717948718,0.6185897435897436,0.6282051282051282,0.5769230769230769,0.6442307692307693,0.5961538461538461,0.6057692307692307,0.5480769230769231
bs,0.625,0.5737179487179487,1.0,0.6891025641025641,0.6282051282051282,0.6217948717948718,0.6153846153846154,0.6025641025641025,0.6153846153846154,0.6410256410256411,0.6346153846153846,0.5801282051282052,0.8525641025641025,0.6506410256410257,0.6314102564102564,0.6410256410256411,0.6378205128205128,0.6506410256410257,0.6762820512820513,0.6282051282051282,0.6506410256410257,0.6602564102564102,0.6602564102564102,0.6923076923076923,0.6730769230769231,0.657051282051282,0.5673076923076923
cs,0.657051282051282,0.5993589743589743,0.6891025641025641,1.0,0.7211538461538461,0.7211538461538461,0.6121794871794872,0.6666666666666666,0.6955128205128205,0.717948717948718,0.6378205128205128,0.6378205128205128,0.6826923076923077,0.7211538461538461,0.6666666666666666,0.6987179487179487,0.6955128205128205,0.7083333333333334,0.7211538461538461,0.6858974358974359,0.6474358974358975,0.6891025641025641,0.7051282051282052,0.6858974358974359,0.7339743589743589,0.75,0.6089743589743589
da,0.6314102564102564,0.5897435897435898,0.6282051282051282,0.7211538461538461,1.0,0.7532051282051282,0.6602564102564102,0.7532051282051282,0.657051282051282,0.782051282051282,0.6698717948717948,0.6602564102564102,0.6762820512820513,0.6121794871794872,0.6858974358974359,0.7275641025641025,0.7243589743589743,0.7147435897435898,0.6698717948717948,0.7211538461538461,0.6762820512820513,0.6762820512820513,0.6891025641025641,0.6506410256410257,0.7435897435897436,0.6410256410256411,0.6634615384615384
de,0.6410256410256411,0.6057692307692307,0.6217948717948718,0.7211538461538461,0.7532051282051282,1.0,0.5865384615384616,0.7307692307692307,0.5993589743589743,0.7339743589743589,0.6666666666666666,0.6378205128205128,0.6442307692307693,0.6089743589743589,0.6891025641025641,0.7115384615384616,0.7051282051282052,0.7339743589743589,0.6602564102564102,0.6826923076923077,0.6987179487179487,0.6410256410256411,0.6794871794871795,0.6410256410256411,0.6730769230769231,0.6666666666666666,0.6891025641025641
el,0.6121794871794872,0.6057692307692307,0.6153846153846154,0.6121794871794872,0.6602564102564102,0.5865384615384616,1.0,0.6089743589743589,0.5993589743589743,0.6826923076923077,0.6153846153846154,0.6185897435897436,0.6089743589743589,0.5384615384615384,0.6025641025641025,0.6538461538461539,0.6217948717948718,0.6698717948717948,0.6282051282051282,0.6346153846153846,0.6730769230769231,0.625,0.6410256410256411,0.6025641025641025,0.6153846153846154,0.6025641025641025,0.5448717948717948
es,0.6474358974358975,0.5801282051282052,0.6025641025641025,0.6666666666666666,0.7532051282051282,0.7307692307692307,0.6089743589743589,1.0,0.6153846153846154,0.7884615384615384,0.6987179487179487,0.6506410256410257,0.6410256410256411,0.5448717948717948,0.7371794871794872,0.7788461538461539,0.7051282051282052,0.6923076923076923,0.6314102564102564,0.7532051282051282,0.6538461538461539,0.6506410256410257,0.657051282051282,0.6698717948717948,0.6858974358974359,0.6282051282051282,0.7307692307692307
fi,0.5737179487179487,0.5480769230769231,0.6153846153846154,0.6955128205128205,0.657051282051282,0.5993589743589743,0.5993589743589743,0.6153846153846154,1.0,0.6538461538461539,0.6442307692307693,0.625,0.6474358974358975,0.5993589743589743,0.6282051282051282,0.6410256410256411,0.6698717948717948,0.6314102564102564,0.6282051282051282,0.6314102564102564,0.625,0.6442307692307693,0.6089743589743589,0.6346153846153846,0.6698717948717948,0.6282051282051282,0.592948717948718
fr,0.6410256410256411,0.6474358974358975,0.6410256410256411,0.717948717948718,0.782051282051282,0.7339743589743589,0.6826923076923077,0.7884615384615384,0.6538461538461539,1.0,0.6858974358974359,0.6698717948717948,0.6666666666666666,0.6025641025641025,0.7211538461538461,0.7788461538461539,0.7051282051282052,0.7211538461538461,0.6826923076923077,0.7403846153846154,0.7275641025641025,0.6634615384615384,0.6794871794871795,0.6923076923076923,0.7051282051282052,0.6794871794871795,0.7019230769230769
he,0.6346153846153846,0.6153846153846154,0.6346153846153846,0.6378205128205128,0.6698717948717948,0.6666666666666666,0.6153846153846154,0.6987179487179487,0.6442307692307693,0.6858974358974359,1.0,0.6217948717948718,0.6923076923076923,0.5,0.6858974358974359,0.7147435897435898,0.6698717948717948,0.6923076923076923,0.5993589743589743,0.6217948717948718,0.6282051282051282,0.6217948717948718,0.6217948717948718,0.6378205128205128,0.6314102564102564,0.6057692307692307,0.6378205128205128
