,ar,bg,bs,cs,da,de,el,es,fi,fr,he,hi,hr,hu,id,it,lv,nl,pl,pt,ro,ru,sl,sr,sv,uk,zh
ar,1.0,0.628428927680798,0.6608478802992519,0.6807980049875312,0.713216957605985,0.7032418952618454,0.7406483790523691,0.7256857855361596,0.6733167082294265,0.71571072319202,0.7007481296758105,0.6882793017456359,0.6384039900249376,0.7281795511221946,0.7182044887780549,0.7206982543640897,0.655860349127182,0.6807980049875312,0.6882793017456359,0.7356608478802993,0.6708229426433915,0.713216957605985,0.655860349127182,0.6708229426433915,0.71571072319202,0.685785536159601,0.7182044887780549
bg,0.628428927680798,1.0,0.6458852867830424,0.6433915211970075,0.6458852867830424,0.6483790523690773,0.6408977556109726,0.683291770573566,0.6359102244389028,0.6758104738154613,0.6209476309226932,0.6034912718204489,0.6234413965087282,0.6259351620947631,0.6483790523690773,0.6334164588528678,0.6384039900249376,0.655860349127182,0.6483790523690773,0.6633416458852868,0.6334164588528678,0.6309226932668329,0.6059850374064838,0.6458852867830424,0.6907730673316709,0.6408977556109726,0.6608478802992519
bs,0.6608478802992519,0.6458852867830424,1.0,0.71571072319202,0.7306733167082294,0.6982543640897756,0.683291770573566,0.7306733167082294,0.6957605985037406,0.7231920199501247,0.6633416458852868,0.6184538653366584,0.7805486284289277,0.6982543640897756,0.6783042394014963,0.6957605985037406,0.6783042394014963,0.7182044887780549,0.7456359102244389,0.7082294264339152,0.7231920199501247,0.6957605985037406,0.6882793017456359,0.7182044887780549,0.7206982543640897,0.6608478802992519,0.6907730673316709
cs,0.6807980049875312,0.6433915211970075,0.71571072319202,1.0,0.7805486284289277,0.7780548628428927,0.743142144638404,0.770573566084788,0.71571072319202,0.770573566084788,0.7107231920199502,0.6733167082294265,0.7231920199501247,0.7381546134663342,0.7281795511221946,0.7605985037406484,0.7182044887780549,0.7780548628428927,0.7680798004987531,0.7406483790523691,0.7630922693266833,0.7406483790523691,0.6733167082294265,0.7082294264339152,0.7680798004987531,0.7306733167082294,0.7531172069825436
da,0.713216957605985,0.6458852867830424,0.7306733167082294,0.7805486284289277,1.0,0.7855361596009975,0.7381546134663342,0.7655860349127181,0.7381546134663342,0.770573566084788,0.7281795511221946,0.6683291770573566,0.7007481296758105,0.7306733167082294,0.7182044887780549,0.7805486284289277,0.7007481296758105,0.773067331670823,0.7281795511221946,0.7780548628428927,0.7630922693266833,0.7231920199501247,0.683291770573566,0.7256857855361596,0.8029925187032418,0.7206982543640897,0.7356608478802993
de,0.7032418952618454,0.6483790523690773,0.6982543640897756,0.7780548628428927,0.7855361596009975,1.0,0.7556109725685786,0.7880299251870324,0.7231920199501247,0.7830423940149626,0.7381546134663342,0.6807980049875312,0.6807980049875312,0.770573566084788,0.7481296758104738,0.7680798004987531,0.7057356608478803,0.7830423940149626,0.7830423940149626,0.7855361596009975,0.7755610972568578,0.7805486284289277,0.6982543640897756,0.7331670822942643,0.7980049875311721,0.7506234413965087,0.7506234413965087
el,0.7406483790523691,0.6408977556109726,0.683291770573566,0.743142144638404,0.7381546134663342,0.7556109725685786,1.0,0.7556109725685786,0.6882793017456359,0.773067331670823,0.7381546134663342,0.6907730673316709,0.6683291770573566,0.7381546134663342,0.7331670822942643,0.7780548628428927,0.6882793017456359,0.7481296758104738,0.7306733167082294,0.770573566084788,0.6882793017456359,0.7481296758104738,0.6384039900249376,0.683291770573566,0.7356608478802993,0.7331670822942643,0.7406483790523691
es,0.7256857855361596,0.683291770573566,0.7306733167082294,0.770573566084788,0.7655860349127181,0.7880299251870324,0.7556109725685786,1.0,0.71571072319202,0.8079800498753117,0.7107231920199502,0.6608478802992519,0.7231920199501247,0.7581047381546134,0.7655860349127181,0.7680798004987531,0.6882793017456359,0.7855361596009975,0.7605985037406484,0.773067331670823,0.7905236907730673,0.7630922693266833,0.7007481296758105,0.7556109725685786,0.7855361596009975,0.7231920199501247,0.7655860349127181
fi,0.6733167082294265,0.6359102244389028,0.6957605985037406,0.71571072319202,0.7381546134663342,0.7231920199501247,0.6882793017456359,0.71571072319202,1.0,0.7082294264339152,0.6583541147132169,0.6583541147132169,0.6733167082294265,0.7107231920199502,0.6807980049875312,0.713216957605985,0.7107231920199502,0.7306733167082294,0.6708229426433915,0.6882793017456359,0.6982543640897756,0.6932668329177057,0.6633416458852868,0.7032418952618454,0.7481296758104738,0.7082294264339152,0.7082294264339152
fr,0.71571072319202,0.6758104738154613,0.7231920199501247,0.770573566084788,0.770573566084788,0.7830423940149626,0.773067331670823,0.8079800498753117,0.7082294264339152,1.0,0.743142144638404,0.6932668329177057,0.7206982543640897,0.7630922693266833,0.7481296758104738,0.8179551122194514,0.6783042394014963,0.7930174563591023,0.7605985037406484,0.800498753117207,0.7406483790523691,0.773067331670823,0.713216957605985,0.7306733167082294,0.7980049875311721,0.7381546134663342,0.770573566084788
he,0.7007481296758105,0.6209476309226932,0.6633416458852868,0.7107231920199502,0.7281795511221946,0.7381546134663342,0.7381546134663342,0.7107231920199502,0.6583541147132169,0.743142144638404,1.0,0.6483790523690773,0.6583541147132169,0.7306733167082294,0.7356608478802993,0.7256857855361596,0.6608478802992519,0.7206982543640897,0.7107231920199502,0.7630922693266833,0.71571072319202,0.7306733167082294,0.6733167082294265,0.6982543640897756,0.7356608478802993,0.71571072319202,0.7406483790523691
hi,0.6882793017456359,0.6034912718204489,0.6184538653366584,0.6733167082294265,0.6683291770573566,0.6807980049875312,0.6907730673316709,0.6608478802992519,0.6583541147132169,0.6932668329177057,0.6483790523690773,1.0,0.6458852867830424,0.6708229426433915,0.6708229426433915,0.6658354114713217,0.655860349127182,0.6633416458852868,0.685785536159601,0.6807980049875312,0.6458852867830424,0.6733167082294265,0.6309226932668329,0.628428927680798,0.6882793017456359,0.6807980049875312,0.7082294264339152
hr,0.6384039900249376,0.6234413965087282,0.7805486284289277,0.7231920199501247,0.7007481296758105,0.6807980049875312,0.6683291770573566,0.7231920199501247,0.6733167082294265,0.7206982543640897,0.6583541147132169,0.6458852867830424,1.0,0.685785536159601,0.6807980049875312,0.7182044887780549,0.6408977556109726,0.7182044887780549,0.7082294264339152,0.6758104738154613,0.6882793017456359,0.6783042394014963,0.683291770573566,0.7206982543640897,0.7182044887780549,0.6508728179551122,0.685785536159601
hu,0.7281795511221946,0.6259351620947631,0.6982543640897756,0.7381546134663342,0.7306733167082294,0.770573566084788,0.7381546134663342,0.7581047381546134,0.7107231920199502,0.7630922693266833,0.7306733167082294,0.6708229426433915,0.685785536159601,1.0,0.7306733167082294,0.7581047381546134,0.6758104738154613,0.7655860349127181,0.7456359102244389,0.7306733167082294,0.7206982543640897,0.743142144638404,0.6907730673316709,0.7306733167082294,0.7581047381546134,0.7356608478802993,0.7381546134663342
id,0.7182044887780549,0.6483790523690773,0.6783042394014963,0.7281795511221946,0.7182044887780549,0.7481296758104738,0.7331670822942643,0.7655860349127181,0.6807980049875312,0.7481296758104738,0.7356608478802993,0.6708229426433915,0.6807980049875312,0.7306733167082294,1.0,0.7556109725685786,0.6583541147132169,0.7331670822942643,0.7057356608478803,0.7331670822942643,0.7032418952618454,0.7456359102244389,0.628428927680798,0.7057356608478803,0.7381546134663342,0.7281795511221946,0.7306733167082294
it,0.7206982543640897,0.6334164588528678,0.6957605985037406,0.7605985037406484,0.7805486284289277,0.7680798004987531,0.7780548628428927,0.7680798004987531,0.713216957605985,0.8179551122194514,0.7256857855361596,0.6658354114713217,0.7182044887780549,0.7581047381546134,0.7556109725685786,1.0,0.6907730673316709,0.7605985037406484,0.7356608478802993,0.7855361596009975,0.7107231920199502,0.7406483790523691,0.6633416458852868,0.6932668329177057,0.7880299251870324,0.7182044887780549,0.7605985037406484
lv,0.655860349127182,0.6384039900249376,0.6783042394014963,0.7182044887780549,0.7007481296758105,0.7057356608478803,0.6882793017456359,0.6882793017456359,0.7107231920199502,0.6783042394014963,0.6608478802992519,0.655860349127182,0.6408977556109726,0.6758104738154613,0.6583541147132169,0.6907730673316709,1.0,0.7107231920199502,0.6633416458852868,0.6882793017456359,0.685785536159601,0.6708229426433915,0.6458852867830424,0.6608478802992519,0.71571072319202,0.6708229426433915,0.7182044887780549
nl,0.6807980049875312,0.655860349127182,0.7182044887780549,0.7780548628428927,0.773067331670823,0.7830423940149626,0.7481296758104738,0.7855361596009975,0.7306733167082294,0.7930174563591023,0.7206982543640897,0.6633416458852868,0.7182044887780549,0.7655860349127181,0.7331670822942643,0.7605985037406484,0.7107231920199502,1.0,0.7581047381546134,0.7506234413965087,0.770573566084788,0.743142144638404,0.6982543640897756,0.7356608478802993,0.773067331670823,0.743142144638404,0.7581047381546134
pl,0.6882793017456359,0.6483790523690773,0.7456359102244389,0.7680798004987531,0.7281795511221946,0.7830423940149626,0.7306733167082294,0.7605985037406484,0.6708229426433915,0.7605985037406484,0.7107231920199502,0.685785536159601,0.7082294264339152,0.7456359102244389,0.7057356608478803,0.7356608478802993,0.6633416458852868,0.7581047381546134,1.0,0.743142144638404,0.7581047381546134,0.7556109725685786,0.7206982543640897,0.7107231920199502,0.773067331670823,0.7281795511221946,0.7231920199501247
pt,0.7356608478802993,0.6633416458852868,0.7082294264339152,0.7406483790523691,0.7780548628428927,0.7855361596009975,0.770573566084788,0.773067331670823,0.6882793017456359,0.800498753117207,0.7630922693266833,0.6807980049875312,0.6758104738154613,0.7306733167082294,0.7331670822942643,0.7855361596009975,0.6882793017456359,0.7506234413965087,0.743142144638404,1.0,0.7581047381546134,0.7581047381546134,0.6907730673316709,0.7281795511221946,0.7905236907730673,0.7381546134663342,0.7306733167082294
ro,0.6708229426433915,0.6334164588528678,0.7231920199501247,0.7630922693266833,0.7630922693266833,0.7755610972568578,0.6882793017456359,0.7905236907730673,0.6982543640897756,0.7406483790523691,0.71571072319202,0.6458852867830424,0.6882793017456359,0.7206982543640897,0.7032418952618454,0.7107231920199502,0.685785536159601,0.770573566084788,0.7581047381546134,0.7581047381546134,1.0,0.7182044887780549,0.7206982543640897,0.7206982543640897,0.770573566084788,0.7182044887780549,0.7231920199501247
ru,0.713216957605985,0.6309226932668329,0.6957605985037406,0.7406483790523691,0.7231920199501247,0.7805486284289277,0.7481296758104738,0.7630922693266833,0.6932668329177057,0.773067331670823,0.7306733167082294,0.6733167082294265,0.6783042394014963,0.743142144638404,0.7456359102244389,0.7406483790523691,0.6708229426433915,0.743142144638404,0.7556109725685786,0.7581047381546134,0.7182044887780549,1.0,0.6907730673316709,0.7381546134663342,0.7406483790523691,0.7182044887780549,0.7481296758104738
sl,0.655860349127182,0.6059850374064838,0.6882793017456359,0.6733167082294265,0.683291770573566,0.6982543640897756,0.6384039900249376,0.7007481296758105,0.6633416458852868,0.713216957605985,0.6733167082294265,0.6309226932668329,0.683291770573566,0.6907730673316709,0.628428927680798,0.6633416458852868,0.6458852867830424,0.6982543640897756,0.7206982543640897,0.6907730673316709,0.7206982543640897,0.6907730673316709,1.0,0.7057356608478803,0.7082294264339152,0.6733167082294265,0.6583541147132169
sr,0.6708229426433915,0.6458852867830424,0.7182044887780549,0.7082294264339152,0.7256857855361596,0.7331670822942643,0.683291770573566,0.7556109725685786,0.7032418952618454,0.7306733167082294,0.6982543640897756,0.628428927680798,0.7206982543640897,0.7306733167082294,0.7057356608478803,0.6932668329177057,0.6608478802992519,0.7356608478802993,0.7107231920199502,0.7281795511221946,0.7206982543640897,0.7381546134663342,0.7057356608478803,1.0,0.7605985037406484,0.685785536159601,0.7007481296758105
sv,0.71571072319202,0.6907730673316709,0.7206982543640897,0.7680798004987531,0.8029925187032418,0.7980049875311721,0.7356608478802993,0.7855361596009975,0.7481296758104738,0.7980049875311721,0.7356608478802993,0.6882793017456359,0.7182044887780549,0.7581047381546134,0.7381546134663342,0.7880299251870324,0.71571072319202,0.773067331670823,0.773067331670823,0.7905236907730673,0.770573566084788,0.7406483790523691,0.7082294264339152,0.7605985037406484,1.0,0.7356608478802993,0.7406483790523691
uk,0.685785536159601,0.6408977556109726,0.6608478802992519,0.7306733167082294,0.7206982543640897,0.7506234413965087,0.7331670822942643,0.7231920199501247,0.7082294264339152,0.7381546134663342,0.71571072319202,0.6807980049875312,0.6508728179551122,0.7356608478802993,0.7281795511221946,0.7182044887780549,0.6708229426433915,0.743142144638404,0.7281795511221946,0.7381546134663342,0.7182044887780549,0.7182044887780549,0.6733167082294265,0.685785536159601,0.7356608478802993,1.0,0.7506234413965087
zh,0.7182044887780549,0.6608478802992519,0.6907730673316709,0.7531172069825436,0.7356608478802993,0.7506234413965087,0.7406483790523691,0.7655860349127181,0.7082294264339152,0.770573566084788,0.7406483790523691,0.7082294264339152,0.685785536159601,0.7381546134663342,0.7306733167082294,0.7605985037406484,0.7182044887780549,0.7581047381546134,0.7231920199501247,0.7306733167082294,0.7231920199501247,0.7481296758104738,0.6583541147132169,0.7007481296758105,0.7406483790523691,0.7506234413965087,1.0
