,ar,bg,bs,cs,da,de,el,en,es,fi,fr,he,hi,hr,hu,id,it,lv,nl,pl,pt,ro,ru,sl,sr,sv,uk,zh
ar,1.0,0.6793587174348698,0.7394789579158316,0.7194388777555111,0.7094188376753507,0.6993987975951904,0.7194388777555111,0.7294589178356713,0.7234468937875751,0.7274549098196392,0.7194388777555111,0.7094188376753507,0.6793587174348698,0.7474949899799599,0.7294589178356713,0.7134268537074149,0.7234468937875751,0.6953907815631263,0.7274549098196392,0.7294589178356713,0.749498997995992,0.7274549098196392,0.7374749498997996,0.7234468937875751,0.7414829659318637,0.7134268537074149,0.7274549098196392,0.7134268537074149
bg,0.6793587174348698,1.0,0.7034068136272545,0.7234468937875751,0.7114228456913828,0.7214428857715431,0.687374749498998,0.7294589178356713,0.7074148296593187,0.7294589178356713,0.7274549098196392,0.657314629258517,0.6472945891783567,0.7254509018036072,0.7074148296593187,0.7274549098196392,0.717434869739479,0.6513026052104208,0.749498997995992,0.6973947895791583,0.7434869739478958,0.7314629258517034,0.7214428857715431,0.717434869739479,0.7374749498997996,0.7134268537074149,0.7254509018036072,0.6713426853707415
bs,0.7394789579158316,0.7034068136272545,1.0,0.8016032064128257,0.781563126252505,0.7695390781563126,0.7334669338677354,0.7955911823647295,0.7835671342685371,0.749498997995992,0.7755511022044088,0.717434869739479,0.6973947895791583,0.8997995991983968,0.7835671342685371,0.7414829659318637,0.7915831663326653,0.7114228456913828,0.7735470941883767,0.7775551102204409,0.7975951903807615,0.7835671342685371,0.7835671342685371,0.7995991983967936,0.8196392785571143,0.7715430861723447,0.7695390781563126,0.7274549098196392
cs,0.7194388777555111,0.7234468937875751,0.8016032064128257,1.0,0.811623246492986,0.779559118236473,0.7575150300601202,0.811623246492986,0.8296593186372746,0.7735470941883767,0.7995991983967936,0.7314629258517034,0.6893787575150301,0.8156312625250501,0.781563126252505,0.779559118236473,0.8156312625250501,0.7414829659318637,0.8196392785571143,0.7955911823647295,0.8336673346693386,0.8056112224448898,0.7975951903807615,0.7875751503006012,0.7675350701402806,0.8016032064128257,0.779559118236473,0.6953907815631263
da,0.7094188376753507,0.7114228456913828,0.781563126252505,0.811623246492986,1.0,0.843687374749499,0.7454909819639278,0.8617234468937875,0.8416833667334669,0.7715430861723447,0.8416833667334669,0.7274549098196392,0.6993987975951904,0.7915831663326653,0.7935871743486974,0.779559118236473,0.845691382765531,0.6773547094188377,0.8076152304609219,0.8096192384769539,0.8316633266533067,0.7715430861723447,0.8176352705410822,0.7995991983967936,0.779559118236473,0.8316633266533067,0.7855711422845691,0.7354709418837675
de,0.6993987975951904,0.7214428857715431,0.7695390781563126,0.779559118236473,0.843687374749499,1.0,0.7214428857715431,0.845691382765531,0.8296593186372746,0.7615230460921844,0.8376753507014028,0.6773547094188377,0.6933867735470942,0.7995991983967936,0.779559118236473,0.7615230460921844,0.8236472945891784,0.6833667334669339,0.7975951903807615,0.7755511022044088,0.8096192384769539,0.7755511022044088,0.8156312625250501,0.7955911823647295,0.7655310621242485,0.8096192384769539,0.7895791583166333,0.751503006012024
el,0.7194388777555111,0.687374749498998,0.7334669338677354,0.7575150300601202,0.7454909819639278,0.7214428857715431,1.0,0.7555110220440882,0.7635270541082164,0.7535070140280561,0.7454909819639278,0.7054108216432866,0.6693386773547094,0.749498997995992,0.7535070140280561,0.7394789579158316,0.7434869739478958,0.7074148296593187,0.749498997995992,0.7374749498997996,0.7675350701402806,0.781563126252505,0.7555110220440882,0.7314629258517034,0.7434869739478958,0.749498997995992,0.751503006012024,0.7054108216432866
en,0.7294589178356713,0.7294589178356713,0.7955911823647295,0.811623246492986,0.8617234468937875,0.845691382765531,0.7555110220440882,1.0,0.8777555110220441,0.7715430861723447,0.8637274549098196,0.7054108216432866,0.7034068136272545,0.7975951903807615,0.7975951903807615,0.7895791583166333,0.8777555110220441,0.7074148296593187,0.8577154308617234,0.845691382765531,0.8637274549098196,0.8096192384769539,0.8416833667334669,0.8016032064128257,0.7855711422845691,0.8196392785571143,0.7895791583166333,0.7595190380761523
es,0.7234468937875751,0.7074148296593187,0.7835671342685371,0.8296593186372746,0.8416833667334669,0.8296593186372746,0.7635270541082164,0.8777555110220441,1.0,0.7715430861723447,0.8617234468937875,0.7314629258517034,0.6973947895791583,0.7955911823647295,0.7735470941883767,0.781563126252505,0.8777555110220441,0.7234468937875751,0.811623246492986,0.8096192384769539,0.8577154308617234,0.7895791583166333,0.843687374749499,0.7895791583166333,0.7695390781563126,0.8196392785571143,0.7875751503006012,0.7394789579158316
fi,0.7274549098196392,0.7294589178356713,0.749498997995992,0.7735470941883767,0.7715430861723447,0.7615230460921844,0.7535070140280561,0.7715430861723447,0.7715430861723447,1.0,0.7615230460921844,0.687374749498998,0.6993987975951904,0.7755511022044088,0.7374749498997996,0.7655310621242485,0.7615230460921844,0.7074148296593187,0.751503006012024,0.7474949899799599,0.7755511022044088,0.7735470941883767,0.7735470941883767,0.7454909819639278,0.7434869739478958,0.7394789579158316,0.751503006012024,0.7274549098196392
fr,0.7194388777555111,0.7274549098196392,0.7755511022044088,0.7995991983967936,0.8416833667334669,0.8376753507014028,0.7454909819639278,0.8637274549098196,0.8617234468937875,0.7615230460921844,1.0,0.7094188376753507,0.7034068136272545,0.7915831663326653,0.7875751503006012,0.7995991983967936,0.8597194388777555,0.6973947895791583,0.8196392785571143,0.7875751503006012,0.8476953907815631,0.7915831663326653,0.8196392785571143,0.7875751503006012,0.7695390781563126,0.811623246492986,0.7895791583166333,0.7254509018036072
he,0.7094188376753507,0.657314629258517,0.717434869739479,0.7314629258517034,0.7274549098196392,0.6773547094188377,0.7054108216432866,0.7054108216432866,0.7314629258517034,0.687374749498998,0.7094188376753507,1.0,0.685370741482966,0.717434869739479,0.7294589178356713,0.7294589178356713,0.7454909819639278,0.6933867735470942,0.7114228456913828,0.7094188376753507,0.7635270541082164,0.7314629258517034,0.7254509018036072,0.6833667334669339,0.7034068136272545,0.7254509018036072,0.6933867735470942,0.7054108216432866
hi,0.6793587174348698,0.6472945891783567,0.6973947895791583,0.6893787575150301,0.6993987975951904,0.6933867735470942,0.6693386773547094,0.7034068136272545,0.6973947895791583,0.6993987975951904,0.7034068136272545,0.685370741482966,1.0,0.7054108216432866,0.6993987975951904,0.7054108216432866,0.7014028056112225,0.6773547094188377,0.717434869739479,0.6773547094188377,0.7294589178356713,0.6913827655310621,0.6833667334669339,0.6773547094188377,0.6773547094188377,0.7214428857715431,0.6933867735470942,0.6913827655310621
hr,0.7474949899799599,0.7254509018036072,0.8997995991983968,0.8156312625250501,0.7915831663326653,0.7995991983967936,0.749498997995992,0.7975951903807615,0.7955911823647295,0.7755511022044088,0.7915831663326653,0.717434869739479,0.7054108216432866,1.0,0.781563126252505,0.7615230460921844,0.7955911823647295,0.7234468937875751,0.7895791583166333,0.7915831663326653,0.8196392785571143,0.7975951903807615,0.8076152304609219,0.811623246492986,0.8196392785571143,0.7955911823647295,0.779559118236473,0.7254509018036072
hu,0.7294589178356713,0.7074148296593187,0.7835671342685371,0.781563126252505,0.7935871743486974,0.779559118236473,0.7535070140280561,0.7975951903807615,0.7735470941883767,0.7374749498997996,0.7875751503006012,0.7294589178356713,0.6993987975951904,0.781563126252505,1.0,0.7575150300601202,0.781563126252505,0.717434869739479,0.7875751503006012,0.7835671342685371,0.7975951903807615,0.7615230460921844,0.779559118236473,0.781563126252505,0.7474949899799599,0.7675350701402806,0.779559118236473,0.7414829659318637
id,0.7134268537074149,0.7274549098196392,0.7414829659318637,0.779559118236473,0.779559118236473,0.7615230460921844,0.7394789579158316,0.7895791583166333,0.781563126252505,0.7655310621242485,0.7995991983967936,0.7294589178356713,0.7054108216432866,0.7615230460921844,0.7575150300601202,1.0,0.7975951903807615,0.6913827655310621,0.779559118236473,0.779559118236473,0.8016032064128257,0.7895791583166333,0.7715430861723447,0.751503006012024,0.7615230460921844,0.7615230460921844,0.7695390781563126,0.7454909819639278
it,0.7234468937875751,0.717434869739479,0.7915831663326653,0.8156312625250501,0.845691382765531,0.8236472945891784,0.7434869739478958,0.8777555110220441,0.8777555110220441,0.7615230460921844,0.8597194388777555,0.7454909819639278,0.7014028056112225,0.7955911823647295,0.781563126252505,0.7975951903807615,1.0,0.7194388777555111,0.8236472945891784,0.8056112224448898,0.8577154308617234,0.8136272545090181,0.8296593186372746,0.7895791583166333,0.7595190380761523,0.8076152304609219,0.7935871743486974,0.7474949899799599
lv,0.6953907815631263,0.6513026052104208,0.7114228456913828,0.7414829659318637,0.6773547094188377,0.6833667334669339,0.7074148296593187,0.7074148296593187,0.7234468937875751,0.7074148296593187,0.6973947895791583,0.6933867735470942,0.6773547094188377,0.7234468937875751,0.717434869739479,0.6913827655310621,0.7194388777555111,1.0,0.7134268537074149,0.7074148296593187,0.7274549098196392,0.7234468937875751,0.7154308617234469,0.7254509018036072,0.7054108216432866,0.7114228456913828,0.685370741482966,0.687374749498998
nl,0.7274549098196392,0.749498997995992,0.7735470941883767,0.8196392785571143,0.8076152304609219,0.7975951903807615,0.749498997995992,0.8577154308617234,0.811623246492986,0.751503006012024,0.8196392785571143,0.7114228456913828,0.717434869739479,0.7895791583166333,0.7875751503006012,0.779559118236473,0.8236472945891784,0.7134268537074149,1.0,0.7995991983967936,0.845691382765531,0.7875751503006012,0.7855711422845691,0.7955911823647295,0.7835671342685371,0.7875751503006012,0.7755511022044088,0.717434869739479
pl,0.7294589178356713,0.6973947895791583,0.7775551102204409,0.7955911823647295,0.8096192384769539,0.7755511022044088,0.7374749498997996,0.845691382765531,0.8096192384769539,0.7474949899799599,0.7875751503006012,0.7094188376753507,0.6773547094188377,0.7915831663326653,0.7835671342685371,0.779559118236473,0.8056112224448898,0.7074148296593187,0.7995991983967936,1.0,0.8156312625250501,0.7955911823647295,0.7935871743486974,0.7955911823647295,0.7755511022044088,0.7695390781563126,0.7775551102204409,0.7434869739478958
pt,0.749498997995992,0.7434869739478958,0.7975951903807615,0.8336673346693386,0.8316633266533067,0.8096192384769539,0.7675350701402806,0.8637274549098196,0.8577154308617234,0.7755511022044088,0.8476953907815631,0.7635270541082164,0.7294589178356713,0.8196392785571143,0.7975951903807615,0.8016032064128257,0.8577154308617234,0.7274549098196392,0.845691382765531,0.8156312625250501,1.0,0.8156312625250501,0.8276553106212425,0.8036072144288577,0.7735470941883767,0.8216432865731463,0.7995991983967936,0.7374749498997996
ro,0.7274549098196392,0.7314629258517034,0.7835671342685371,0.8056112224448898,0.7715430861723447,0.7755511022044088,0.781563126252505,0.8096192384769539,0.7895791583166333,0.7735470941883767,0.7915831663326653,0.7314629258517034,0.6913827655310621,0.7975951903807615,0.7615230460921844,0.7895791583166333,0.8136272545090181,0.7234468937875751,0.7875751503006012,0.7955911823647295,0.8156312625250501,1.0,0.7935871743486974,0.7635270541082164,0.7975951903807615,0.7715430861723447,0.7635270541082164,0.7074148296593187
