lang_a,lang_b,clcs
ar,bg,0.6410256410256411
ar,bs,0.7115384615384616
ar,cs,0.7564102564102564
ar,da,0.7307692307692307
ar,de,0.8012820512820513
ar,el,0.8108974358974359
ar,es,0.8012820512820513
ar,fi,0.6891025641025641
ar,fr,0.8076923076923077
ar,he,0.8108974358974359
ar,hi,0.7339743589743589
ar,hr,0.7307692307692307
ar,hu,0.7115384615384616
ar,id,0.782051282051282
ar,it,0.7948717948717948
ar,lv,0.6698717948717948
ar,nl,0.8012820512820513
ar,pl,0.7660256410256411
ar,pt,0.8012820512820513
ar,ro,0.8108974358974359
ar,ru,0.7788461538461539
ar,sl,0.7243589743589743
ar,sr,0.7115384615384616
ar,sv,0.7467948717948718
ar,uk,0.782051282051282
ar,zh,0.7660256410256411
bg,bs,0.6282051282051282
bg,cs,0.6538461538461539
bg,da,0.6153846153846154
bg,de,0.6410256410256411
bg,el,0.6538461538461539
bg,es,0.6474358974358975
bg,fi,0.6217948717948718
bg,fr,0.6442307692307693
bg,he,0.6346153846153846
bg,hi,0.6057692307692307
bg,hr,0.6153846153846154
bg,hu,0.6410256410256411
bg,id,0.6506410256410257
bg,it,0.6410256410256411
bg,lv,0.6121794871794872
bg,nl,0.6410256410256411
bg,pl,0.6314102564102564
bg,pt,0.6346153846153846
bg,ro,0.6378205128205128
bg,ru,0.6346153846153846
bg,sl,0.6121794871794872
bg,sr,0.592948717948718
bg,sv,0.6410256410256411
bg,uk,0.6506410256410257
bg,zh,0.6089743589743589
bs,cs,0.7628205128205128
bs,da,0.7628205128205128
bs,de,0.7660256410256411
bs,el,0.7532051282051282
bs,es,0.7884615384615384
bs,fi,0.6955128205128205
bs,fr,0.7724358974358975
bs,he,0.7884615384615384
bs,hi,0.6923076923076923
bs,hr,0.8621794871794872
bs,hu,0.7083333333333334
bs,id,0.7435897435897436
bs,it,0.7467948717948718
bs,lv,0.6730769230769231
bs,nl,0.7660256410256411
bs,pl,0.7660256410256411
bs,pt,0.7596153846153846
