lang_a,lang_b,clcs
ar,bg,0.5961538461538461
ar,bs,0.6410256410256411
ar,cs,0.6602564102564102
ar,da,0.6826923076923077
ar,de,0.6698717948717948
ar,el,0.7115384615384616
ar,es,0.7051282051282052
ar,fi,0.6185897435897436
ar,fr,0.6891025641025641
ar,he,0.6762820512820513
ar,hi,0.6826923076923077
ar,hr,0.6153846153846154
ar,hu,0.7051282051282052
ar,id,0.6891025641025641
ar,it,0.6891025641025641
ar,lv,0.6410256410256411
ar,nl,0.6474358974358975
ar,pl,0.6858974358974359
ar,pt,0.7019230769230769
ar,ro,0.6538461538461539
ar,ru,0.6891025641025641
ar,sl,0.6346153846153846
ar,sr,0.6346153846153846
ar,sv,0.6794871794871795
ar,uk,0.6602564102564102
ar,zh,0.6987179487179487
bg,bs,0.6153846153846154
bg,cs,0.6185897435897436
bg,da,0.6089743589743589
bg,de,0.6185897435897436
bg,el,0.6057692307692307
bg,es,0.6634615384615384
bg,fi,0.6057692307692307
bg,fr,0.6378205128205128
bg,he,0.6025641025641025
bg,hi,0.5833333333333334
bg,hr,0.592948717948718
bg,hu,0.5993589743589743
bg,id,0.6217948717948718
bg,it,0.5865384615384616
bg,lv,0.6217948717948718
bg,nl,0.6153846153846154
bg,pl,0.6378205128205128
bg,pt,0.6314102564102564
bg,ro,0.6025641025641025
bg,ru,0.6057692307692307
bg,sl,0.5769230769230769
bg,sr,0.6089743589743589
bg,sv,0.6698717948717948
bg,uk,0.6153846153846154
bg,zh,0.6153846153846154
bs,cs,0.7211538461538461
bs,da,0.7243589743589743
bs,de,0.6762820512820513
bs,el,0.6634615384615384
bs,es,0.717948717948718
bs,fi,0.6730769230769231
bs,fr,0.7083333333333334
bs,he,0.6666666666666666
bs,hi,0.6153846153846154
bs,hr,0.7692307692307693
bs,hu,0.6923076923076923
bs,id,0.6698717948717948
bs,it,0.6762820512820513
bs,lv,0.6666666666666666
bs,nl,0.7051282051282052
bs,pl,0.7596153846153846
bs,pt,0.6858974358974359
bs,ro,0.7147435897435898
bs,ru,0.6698717948717948
bs,sl,0.6666666666666666
bs,sr,0.6987179487179487
bs,sv,0.7051282051282052
bs,uk,0.657051282051282
bs,zh,0.6762820512820513
cs,da,0.7692307692307693
cs,de,0.7788461538461539
cs,el,0.7435897435897436
cs,es,0.7596153846153846
cs,fi,0.7019230769230769
cs,fr,0.7596153846153846
cs,he,0.7115384615384616
cs,hi,0.6698717948717948
cs,hr,0.6955128205128205
cs,hu,0.7243589743589743
cs,id,0.7211538461538461
cs,it,0.75
cs,lv,0.7371794871794872
cs,nl,0.7724358974358975
cs,pl,0.7756410256410257
cs,pt,0.7435897435897436
cs,ro,0.7724358974358975
cs,ru,0.7371794871794872
cs,sl,0.6378205128205128
cs,sr,0.7019230769230769
cs,sv,0.7532051282051282
cs,uk,0.7211538461538461
cs,zh,0.7403846153846154
da,de,0.7660256410256411
da,el,0.7051282051282052
da,es,0.7467948717948718
da,fi,0.7083333333333334
da,fr,0.75
da,he,0.717948717948718
da,hi,0.6634615384615384
da,hr,0.6666666666666666
da,hu,0.717948717948718
da,id,0.6955128205128205
da,it,0.75
da,lv,0.7019230769230769
da,nl,0.7532051282051282
da,pl,0.7243589743589743
da,pt,0.7596153846153846
da,ro,0.7532051282051282
da,ru,0.7051282051282052
da,sl,0.6314102564102564
da,sr,0.6987179487179487
da,sv,0.7788461538461539
da,uk,0.6955128205128205
da,zh,0.7211538461538461
de,el,0.7403846153846154
de,es,0.7628205128205128
de,fi,0.6987179487179487
de,fr,0.7628205128205128
de,he,0.7307692307692307
de,hi,0.6891025641025641
de,hr,0.6634615384615384
de,hu,0.7692307692307693
de,id,0.7339743589743589
de,it,0.7596153846153846
de,lv,0.6987179487179487
de,nl,0.7660256410256411
de,pl,0.7756410256410257
de,pt,0.7660256410256411
de,ro,0.7564102564102564
de,ru,0.7692307692307693
de,sl,0.6602564102564102
de,sr,0.717948717948718
de,sv,0.7724358974358975
de,uk,0.7371794871794872
de,zh,0.7435897435897436
el,es,0.7371794871794872
el,fi,0.6378205128205128
el,fr,0.7628205128205128
el,he,0.7339743589743589
el,hi,0.6730769230769231
el,hr,0.6474358974358975
el,hu,0.7211538461538461
el,id,0.7243589743589743
el,it,0.7435897435897436
el,lv,0.6762820512820513
el,nl,0.7243589743589743
el,pl,0.7371794871794872
el,pt,0.75
el,ro,0.6602564102564102
el,ru,0.7307692307692307
el,sl,0.6057692307692307
el,sr,0.657051282051282
el,sv,0.7115384615384616
el,uk,0.7243589743589743
el,zh,0.7211538461538461
es,fi,0.6955128205128205
es,fr,0.8044871794871795
es,he,0.7019230769230769
es,hi,0.6410256410256411
es,hr,0.6987179487179487
es,hu,0.7435897435897436
es,id,0.7435897435897436
es,it,0.7564102564102564
es,lv,0.6794871794871795
es,nl,0.7692307692307693
es,pl,0.75
es,pt,0.7596153846153846
es,ro,0.7788461538461539
es,ru,0.75
es,sl,0.6730769230769231
es,sr,0.7435897435897436
es,sv,0.7628205128205128
es,uk,0.6955128205128205
es,zh,0.7467948717948718
fi,fr,0.6762820512820513
fi,he,0.6410256410256411
fi,hi,0.6474358974358975
fi,hr,0.6506410256410257
fi,hu,0.6858974358974359
fi,id,0.6538461538461539
fi,it,0.6794871794871795
fi,lv,0.7019230769230769
fi,nl,0.7051282051282052
fi,pl,0.6666666666666666
fi,pt,0.6442307692307693
fi,ro,0.6891025641025641
fi,ru,0.6602564102564102
fi,sl,0.6314102564102564
fi,sr,0.6762820512820513
fi,sv,0.7147435897435898
fi,uk,0.7019230769230769
fi,zh,0.6794871794871795
fr,he,0.7403846153846154
fr,hi,0.7019230769230769
fr,hr,0.6955128205128205
fr,hu,0.7532051282051282
fr,id,0.7339743589743589
fr,it,0.8044871794871795
fr,lv,0.6730769230769231
fr,nl,0.7788461538461539
fr,pl,0.7596153846153846
fr,pt,0.7948717948717948
fr,ro,0.7211538461538461
fr,ru,0.7660256410256411
fr,sl,0.6762820512820513
fr,sr,0.7115384615384616
fr,sv,0.7852564102564102
fr,uk,0.7243589743589743
fr,zh,0.7564102564102564
he,hi,0.6506410256410257
he,hr,0.657051282051282
he,hu,0.7147435897435898
he,id,0.717948717948718
he,it,0.7147435897435898
he,lv,0.657051282051282
he,nl,0.7051282051282052
he,pl,0.7211538461538461
he,pt,0.7596153846153846
he,ro,0.7019230769230769
he,ru,0.7371794871794872
he,sl,0.657051282051282
he,sr,0.6923076923076923
he,sv,0.7243589743589743
he,uk,0.7115384615384616
he,zh,0.7403846153846154
hi,hr,0.6314102564102564
hi,hu,0.6762820512820513
hi,id,0.6602564102564102
hi,it,0.6474358974358975
hi,lv,0.657051282051282
hi,nl,0.6538461538461539
hi,pl,0.6987179487179487
hi,pt,0.6826923076923077
hi,ro,0.6410256410256411
hi,ru,0.6730769230769231
hi,sl,0.6217948717948718
hi,sr,0.6089743589743589
hi,sv,0.6955128205128205
hi,uk,0.6923076923076923
hi,zh,0.7051282051282052
hr,hu,0.6730769230769231
hr,id,0.6634615384615384
hr,it,0.6891025641025641
hr,lv,0.625
hr,nl,0.6891025641025641
hr,pl,0.7019230769230769
hr,pt,0.6538461538461539
hr,ro,0.6826923076923077
hr,ru,0.6474358974358975
hr,sl,0.6506410256410257
hr,sr,0.6923076923076923
hr,sv,0.7019230769230769
hr,uk,0.6217948717948718
hr,zh,0.6634615384615384
hu,id,0.7083333333333334
hu,it,0.7403846153846154
hu,lv,0.6698717948717948
hu,nl,0.7371794871794872
hu,pl,0.7435897435897436
hu,pt,0.7211538461538461
hu,ro,0.7115384615384616
hu,ru,0.75
hu,sl,0.6666666666666666
hu,sr,0.717948717948718
hu,sv,0.7435897435897436
hu,uk,0.7211538461538461
hu,zh,0.7211538461538461
id,it,0.7467948717948718
id,lv,0.6474358974358975
id,nl,0.7051282051282052
id,pl,0.7115384615384616
id,pt,0.7147435897435898
id,ro,0.6891025641025641
id,ru,0.7467948717948718
id,sl,0.5961538461538461
id,sr,0.6858974358974359
id,sv,0.717948717948718
id,uk,0.7147435897435898
id,zh,0.7115384615384616
it,lv,0.6762820512820513
it,nl,0.7403846153846154
it,pl,0.7371794871794872
it,pt,0.7660256410256411
it,ro,0.6923076923076923
it,ru,0.7371794871794872
it,sl,0.6282051282051282
it,sr,0.6794871794871795
it,sv,0.7692307692307693
it,uk,0.7019230769230769
it,zh,0.7435897435897436
lv,nl,0.7019230769230769
lv,pl,0.6762820512820513
lv,pt,0.6730769230769231
lv,ro,0.6826923076923077
lv,ru,0.6602564102564102
lv,sl,0.6282051282051282
lv,sr,0.6442307692307693
lv,sv,0.7019230769230769
lv,uk,0.6730769230769231
lv,zh,0.7083333333333334
nl,pl,0.7564102564102564
nl,pt,0.7532051282051282
nl,ro,0.7660256410256411
nl,ru,0.7371794871794872
nl,sl,0.6698717948717948
nl,sr,0.717948717948718
nl,sv,0.7564102564102564
nl,uk,0.7307692307692307
nl,zh,0.7307692307692307
pl,pt,0.7532051282051282
pl,ro,0.75
pl,ru,0.7660256410256411
pl,sl,0.6923076923076923
pl,sr,0.7147435897435898
pl,sv,0.7788461538461539
pl,uk,0.7307692307692307
pl,zh,0.7211538461538461
pt,ro,0.7435897435897436
pt,ru,0.7435897435897436
pt,sl,0.6666666666666666
pt,sr,0.7019230769230769
pt,sv,0.7628205128205128
pt,uk,0.7243589743589743
pt,zh,0.7211538461538461
ro,ru,0.7083333333333334
ro,sl,0.6955128205128205
ro,sr,0.7019230769230769
ro,sv,0.7532051282051282
ro,uk,0.717948717948718
ro,zh,0.6955128205128205
ru,sl,0.6698717948717948
ru,sr,0.7307692307692307
ru,sv,0.7211538461538461
ru,uk,0.7147435897435898
ru,zh,0.7532051282051282
sl,sr,0.6730769230769231
sl,sv,0.6698717948717948
sl,uk,0.6506410256410257
sl,zh,0.6314102564102564
sr,sv,0.7435897435897436
sr,uk,0.6666666666666666
sr,zh,0.6794871794871795
sv,uk,0.7275641025641025
sv,zh,0.7147435897435898
uk,zh,0.7403846153846154
