lang_a,lang_b,clcs
ar,bg,0.625
ar,bs,0.717948717948718
ar,cs,0.6762820512820513
ar,da,0.6698717948717948
ar,de,0.6634615384615384
ar,el,0.7051282051282052
ar,es,0.6891025641025641
ar,fi,0.7115384615384616
ar,fr,0.6891025641025641
ar,he,0.6762820512820513
ar,hi,0.6794871794871795
ar,hr,0.7211538461538461
ar,hu,0.6891025641025641
ar,id,0.6955128205128205
ar,it,0.6955128205128205
ar,lv,0.6730769230769231
ar,nl,0.6826923076923077
ar,pl,0.6826923076923077
ar,pt,0.717948717948718
ar,ro,0.6826923076923077
ar,ru,0.7275641025641025
ar,sl,0.6891025641025641
ar,sr,0.7211538461538461
ar,sv,0.6858974358974359
ar,uk,0.7147435897435898
ar,zh,0.6826923076923077
bg,bs,0.6602564102564102
bg,cs,0.6762820512820513
bg,da,0.6634615384615384
bg,de,0.6987179487179487
bg,el,0.6666666666666666
bg,es,0.6762820512820513
bg,fi,0.7051282051282052
bg,fr,0.6987179487179487
bg,he,0.5897435897435898
bg,hi,0.625
bg,hr,0.6826923076923077
bg,hu,0.6538461538461539
bg,id,0.6858974358974359
bg,it,0.6826923076923077
bg,lv,0.5993589743589743
bg,nl,0.7051282051282052
bg,pl,0.6634615384615384
bg,pt,0.7019230769230769
bg,ro,0.7019230769230769
bg,ru,0.6955128205128205
bg,sl,0.6794871794871795
bg,sr,0.6923076923076923
bg,sv,0.6923076923076923
bg,uk,0.717948717948718
bg,zh,0.625
bs,cs,0.7788461538461539
bs,da,0.75
bs,de,0.75
bs,el,0.7115384615384616
bs,es,0.7628205128205128
bs,fi,0.7403846153846154
bs,fr,0.7596153846153846
bs,he,0.6987179487179487
bs,hi,0.6826923076923077
bs,hr,0.907051282051282
bs,hu,0.7692307692307693
bs,id,0.7243589743589743
bs,it,0.7564102564102564
bs,lv,0.6602564102564102
bs,nl,0.7532051282051282
bs,pl,0.75
bs,pt,0.7756410256410257
bs,ro,0.7467948717948718
bs,ru,0.7596153846153846
bs,sl,0.782051282051282
bs,sr,0.7916666666666666
bs,sv,0.7596153846153846
bs,uk,0.75
bs,zh,0.7019230769230769
cs,da,0.782051282051282
cs,de,0.7403846153846154
cs,el,0.7243589743589743
cs,es,0.8044871794871795
cs,fi,0.7596153846153846
cs,fr,0.782051282051282
cs,he,0.6955128205128205
cs,hi,0.6730769230769231
cs,hr,0.7948717948717948
cs,hu,0.75
cs,id,0.7724358974358975
cs,it,0.7948717948717948
cs,lv,0.6987179487179487
cs,nl,0.8012820512820513
cs,pl,0.7724358974358975
cs,pt,0.8012820512820513
cs,ro,0.7788461538461539
cs,ru,0.7756410256410257
cs,sl,0.75
cs,sr,0.7243589743589743
cs,sv,0.7788461538461539
cs,uk,0.7564102564102564
cs,zh,0.6506410256410257
da,de,0.8205128205128205
da,el,0.7211538461538461
da,es,0.8141025641025641
da,fi,0.7564102564102564
da,fr,0.8333333333333334
da,he,0.7083333333333334
da,hi,0.6794871794871795
da,hr,0.7532051282051282
da,hu,0.7724358974358975
da,id,0.782051282051282
da,it,0.8397435897435898
da,lv,0.6153846153846154
da,nl,0.782051282051282
da,pl,0.7948717948717948
da,pt,0.8012820512820513
da,ro,0.7371794871794872
da,ru,0.8141025641025641
da,sl,0.7596153846153846
da,sr,0.7435897435897436
da,sv,0.8108974358974359
da,uk,0.7628205128205128
da,zh,0.6923076923076923
de,el,0.6987179487179487
de,es,0.7916666666666666
de,fi,0.7403846153846154
de,fr,0.8237179487179487
de,he,0.6474358974358975
de,hi,0.6987179487179487
de,hr,0.7628205128205128
de,hu,0.7660256410256411
de,id,0.7596153846153846
de,it,0.8076923076923077
de,lv,0.6217948717948718
de,nl,0.782051282051282
de,pl,0.7371794871794872
de,pt,0.7852564102564102
de,ro,0.75
de,ru,0.8012820512820513
de,sl,0.7660256410256411
de,sr,0.7307692307692307
de,sv,0.7948717948717948
de,uk,0.7628205128205128
de,zh,0.7371794871794872
el,es,0.7371794871794872
el,fi,0.7435897435897436
el,fr,0.7371794871794872
el,he,0.6730769230769231
el,hi,0.6698717948717948
el,hr,0.7275641025641025
el,hu,0.7371794871794872
el,id,0.7371794871794872
el,it,0.7211538461538461
el,lv,0.657051282051282
el,nl,0.7083333333333334
el,pl,0.7083333333333334
el,pt,0.7564102564102564
el,ro,0.7564102564102564
el,ru,0.7467948717948718
el,sl,0.7083333333333334
el,sr,0.7051282051282052
el,sv,0.7371794871794872
el,uk,0.7467948717948718
el,zh,0.6762820512820513
es,fi,0.7660256410256411
es,fr,0.8525641025641025
es,he,0.717948717948718
es,hi,0.6858974358974359
es,hr,0.7692307692307693
es,hu,0.7467948717948718
es,id,0.7916666666666666
es,it,0.8717948717948718
es,lv,0.6666666666666666
es,nl,0.7756410256410257
es,pl,0.7788461538461539
es,pt,0.8365384615384616
es,ro,0.7564102564102564
es,ru,0.8269230769230769
es,sl,0.7564102564102564
es,sr,0.7307692307692307
es,sv,0.782051282051282
es,uk,0.7660256410256411
es,zh,0.7051282051282052
fi,fr,0.7532051282051282
fi,he,0.6666666666666666
fi,hi,0.7051282051282052
fi,hr,0.7628205128205128
fi,hu,0.7243589743589743
fi,id,0.7692307692307693
fi,it,0.7628205128205128
fi,lv,0.6858974358974359
fi,nl,0.717948717948718
fi,pl,0.7403846153846154
fi,pt,0.7756410256410257
fi,ro,0.7660256410256411
fi,ru,0.7788461538461539
fi,sl,0.7307692307692307
fi,sr,0.7115384615384616
fi,sv,0.7532051282051282
fi,uk,0.7339743589743589
fi,zh,0.6987179487179487
fr,he,0.6955128205128205
fr,hi,0.6987179487179487
fr,hr,0.7660256410256411
fr,hu,0.782051282051282
fr,id,0.8044871794871795
fr,it,0.8557692307692307
fr,lv,0.6538461538461539
fr,nl,0.7916666666666666
fr,pl,0.7692307692307693
fr,pt,0.8269230769230769
fr,ro,0.7660256410256411
fr,ru,0.8141025641025641
fr,sl,0.7660256410256411
fr,sr,0.7435897435897436
fr,sv,0.8012820512820513
fr,uk,0.7756410256410257
fr,zh,0.6891025641025641
he,hi,0.6730769230769231
he,hr,0.6891025641025641
he,hu,0.6955128205128205
he,id,0.717948717948718
he,it,0.7275641025641025
he,lv,0.6442307692307693
he,nl,0.6634615384615384
he,pl,0.6923076923076923
he,pt,0.7564102564102564
he,ro,0.6891025641025641
he,ru,0.7211538461538461
he,sl,0.6538461538461539
he,sr,0.6698717948717948
he,sv,0.7019230769230769
he,uk,0.6666666666666666
he,zh,0.6538461538461539
hi,hr,0.6666666666666666
hi,hu,0.6730769230769231
hi,id,0.7051282051282052
hi,it,0.6987179487179487
hi,lv,0.6634615384615384
hi,nl,0.6955128205128205
hi,pl,0.6538461538461539
hi,pt,0.7211538461538461
hi,ro,0.6666666666666666
hi,ru,0.6634615384615384
hi,sl,0.6538461538461539
hi,sr,0.6602564102564102
hi,sv,0.717948717948718
hi,uk,0.6666666666666666
hi,zh,0.6794871794871795
hr,hu,0.7564102564102564
hr,id,0.7435897435897436
hr,it,0.7660256410256411
hr,lv,0.6634615384615384
hr,nl,0.7564102564102564
hr,pl,0.7660256410256411
hr,pt,0.7852564102564102
hr,ro,0.7564102564102564
hr,ru,0.7884615384615384
hr,sl,0.782051282051282
hr,sr,0.7948717948717948
hr,sv,0.7788461538461539
hr,uk,0.7628205128205128
hr,zh,0.6987179487179487
hu,id,0.7403846153846154
hu,it,0.7596153846153846
hu,lv,0.657051282051282
hu,nl,0.7532051282051282
hu,pl,0.7467948717948718
hu,pt,0.7724358974358975
hu,ro,0.7243589743589743
hu,ru,0.7660256410256411
hu,sl,0.7435897435897436
hu,sr,0.7211538461538461
hu,sv,0.7339743589743589
hu,uk,0.7628205128205128
hu,zh,0.6955128205128205
id,it,0.8108974358974359
id,lv,0.6762820512820513
id,nl,0.7660256410256411
id,pl,0.7884615384615384
id,pt,0.8141025641025641
id,ro,0.7916666666666666
id,ru,0.782051282051282
id,sl,0.7435897435897436
id,sr,0.7371794871794872
id,sv,0.7596153846153846
id,uk,0.782051282051282
id,zh,0.7115384615384616
it,lv,0.6730769230769231
it,nl,0.7852564102564102
it,pl,0.7884615384615384
it,pt,0.8301282051282052
it,ro,0.7852564102564102
it,ru,0.8205128205128205
it,sl,0.7692307692307693
it,sr,0.7211538461538461
it,sv,0.7852564102564102
it,uk,0.7948717948717948
it,zh,0.7051282051282052
lv,nl,0.6602564102564102
lv,pl,0.6442307692307693
lv,pt,0.6858974358974359
lv,ro,0.6826923076923077
lv,ru,0.6762820512820513
lv,sl,0.6698717948717948
lv,sr,0.6538461538461539
lv,sv,0.6794871794871795
lv,uk,0.6442307692307693
lv,zh,0.6410256410256411
nl,pl,0.7788461538461539
nl,pt,0.8141025641025641
nl,ro,0.75
nl,ru,0.7596153846153846
nl,sl,0.7692307692307693
nl,sr,0.75
nl,sv,0.7532051282051282
nl,uk,0.7564102564102564
nl,zh,0.6602564102564102
pl,pt,0.7948717948717948
pl,ro,0.7660256410256411
pl,ru,0.7788461538461539
pl,sl,0.7564102564102564
pl,sr,0.7339743589743589
pl,sv,0.7403846153846154
pl,uk,0.7564102564102564
pl,zh,0.7083333333333334
pt,ro,0.7884615384615384
pt,ru,0.8173076923076923
pt,sl,0.7660256410256411
pt,sr,0.7371794871794872
pt,sv,0.7916666666666666
pt,uk,0.7948717948717948
pt,zh,0.7083333333333334
ro,ru,0.7756410256410257
ro,sl,0.7211538461538461
ro,sr,0.7628205128205128
ro,sv,0.7403846153846154
ro,uk,0.7467948717948718
ro,zh,0.657051282051282
ru,sl,0.7724358974358975
ru,sr,0.7307692307692307
ru,sv,0.7724358974358975
ru,uk,0.8044871794871795
ru,zh,0.7051282051282052
