lang_a,lang_b,clcs
ar,bg,0.7051282051282052
ar,bs,0.7628205128205128
ar,cs,0.7692307692307693
ar,da,0.7660256410256411
ar,de,0.8012820512820513
ar,el,0.7339743589743589
ar,es,0.7980769230769231
ar,fi,0.7596153846153846
ar,fr,0.782051282051282
ar,he,0.7692307692307693
ar,hi,0.7628205128205128
ar,hr,0.7724358974358975
ar,hu,0.7596153846153846
ar,id,0.7884615384615384
ar,it,0.7724358974358975
ar,lv,0.7435897435897436
ar,nl,0.7692307692307693
ar,pl,0.7788461538461539
ar,pt,0.8141025641025641
ar,ro,0.782051282051282
ar,ru,0.7788461538461539
ar,sl,0.7403846153846154
ar,sr,0.7660256410256411
ar,sv,0.7371794871794872
ar,uk,0.75
ar,zh,0.7884615384615384
bg,bs,0.6923076923076923
bg,cs,0.6923076923076923
bg,da,0.6987179487179487
bg,de,0.6858974358974359
bg,el,0.6794871794871795
bg,es,0.7083333333333334
bg,fi,0.7019230769230769
bg,fr,0.7019230769230769
bg,he,0.6762820512820513
bg,hi,0.6602564102564102
bg,hr,0.6923076923076923
bg,hu,0.6923076923076923
bg,id,0.6987179487179487
bg,it,0.7243589743589743
bg,lv,0.6794871794871795
bg,nl,0.717948717948718
bg,pl,0.7307692307692307
bg,pt,0.7147435897435898
bg,ro,0.6891025641025641
bg,ru,0.7051282051282052
bg,sl,0.6762820512820513
bg,sr,0.6794871794871795
bg,sv,0.7083333333333334
bg,uk,0.6762820512820513
bg,zh,0.6634615384615384
bs,cs,0.7980769230769231
bs,da,0.8044871794871795
bs,de,0.7564102564102564
bs,el,0.7435897435897436
bs,es,0.8044871794871795
bs,fi,0.8012820512820513
bs,fr,0.7852564102564102
bs,he,0.75
bs,hi,0.7467948717948718
bs,hr,0.8846153846153846
bs,hu,0.7660256410256411
bs,id,0.782051282051282
bs,it,0.7660256410256411
bs,lv,0.7435897435897436
bs,nl,0.7916666666666666
bs,pl,0.8237179487179487
bs,pt,0.782051282051282
bs,ro,0.7852564102564102
bs,ru,0.7916666666666666
bs,sl,0.8237179487179487
bs,sr,0.7948717948717948
bs,sv,0.7628205128205128
bs,uk,0.7724358974358975
bs,zh,0.7596153846153846
cs,da,0.8301282051282052
cs,de,0.8205128205128205
cs,el,0.8044871794871795
cs,es,0.8333333333333334
cs,fi,0.7756410256410257
cs,fr,0.8173076923076923
cs,he,0.7788461538461539
cs,hi,0.7211538461538461
cs,hr,0.8333333333333334
cs,hu,0.8237179487179487
cs,id,0.8237179487179487
cs,it,0.8269230769230769
cs,lv,0.782051282051282
cs,nl,0.8365384615384616
cs,pl,0.8557692307692307
cs,pt,0.8173076923076923
cs,ro,0.8301282051282052
cs,ru,0.782051282051282
cs,sl,0.7852564102564102
cs,sr,0.7692307692307693
cs,sv,0.8012820512820513
cs,uk,0.8044871794871795
cs,zh,0.8141025641025641
da,de,0.8557692307692307
da,el,0.7916666666666666
da,es,0.8717948717948718
da,fi,0.8333333333333334
da,fr,0.8557692307692307
da,he,0.8076923076923077
da,hi,0.782051282051282
da,hr,0.8621794871794872
da,hu,0.8493589743589743
da,id,0.8493589743589743
da,it,0.8557692307692307
da,lv,0.7948717948717948
da,nl,0.8814102564102564
da,pl,0.8653846153846154
da,pt,0.8685897435897436
da,ro,0.8237179487179487
da,ru,0.8397435897435898
da,sl,0.7852564102564102
da,sr,0.7756410256410257
da,sv,0.8621794871794872
da,uk,0.7916666666666666
da,zh,0.8076923076923077
de,el,0.8044871794871795
de,es,0.8365384615384616
de,fi,0.8205128205128205
de,fr,0.8557692307692307
de,he,0.8076923076923077
de,hi,0.7660256410256411
de,hr,0.8044871794871795
de,hu,0.8301282051282052
de,id,0.8108974358974359
de,it,0.8557692307692307
de,lv,0.7948717948717948
de,nl,0.8365384615384616
de,pl,0.8205128205128205
de,pt,0.8557692307692307
de,ro,0.8269230769230769
de,ru,0.8333333333333334
de,sl,0.7756410256410257
de,sr,0.7628205128205128
de,sv,0.8333333333333334
de,uk,0.8108974358974359
de,zh,0.8205128205128205
el,es,0.8012820512820513
el,fi,0.7660256410256411
el,fr,0.8012820512820513
el,he,0.7692307692307693
el,hi,0.6955128205128205
el,hr,0.7564102564102564
el,hu,0.8044871794871795
el,id,0.782051282051282
el,it,0.7884615384615384
el,lv,0.7564102564102564
el,nl,0.7756410256410257
el,pl,0.8012820512820513
el,pt,0.7980769230769231
el,ro,0.7788461538461539
el,ru,0.7692307692307693
el,sl,0.7339743589743589
el,sr,0.7371794871794872
el,sv,0.7660256410256411
el,uk,0.7788461538461539
el,zh,0.7596153846153846
es,fi,0.8237179487179487
es,fr,0.8493589743589743
es,he,0.8012820512820513
es,hi,0.7564102564102564
es,hr,0.8333333333333334
es,hu,0.8205128205128205
es,id,0.8269230769230769
es,it,0.8589743589743589
es,lv,0.8108974358974359
es,nl,0.8397435897435898
es,pl,0.842948717948718
es,pt,0.8782051282051282
es,ro,0.842948717948718
es,ru,0.8237179487179487
es,sl,0.7948717948717948
es,sr,0.782051282051282
es,sv,0.8108974358974359
es,uk,0.8173076923076923
es,zh,0.8173076923076923
fi,fr,0.8205128205128205
fi,he,0.7852564102564102
fi,hi,0.7371794871794872
fi,hr,0.8141025641025641
fi,hu,0.8076923076923077
fi,id,0.7948717948717948
fi,it,0.8237179487179487
fi,lv,0.7916666666666666
fi,nl,0.8012820512820513
fi,pl,0.8205128205128205
fi,pt,0.8269230769230769
fi,ro,0.7916666666666666
fi,ru,0.8269230769230769
fi,sl,0.7788461538461539
fi,sr,0.7724358974358975
fi,sv,0.8108974358974359
fi,uk,0.7756410256410257
fi,zh,0.7724358974358975
fr,he,0.8108974358974359
fr,hi,0.7467948717948718
fr,hr,0.8365384615384616
fr,hu,0.8076923076923077
fr,id,0.8269230769230769
fr,it,0.8557692307692307
fr,lv,0.7724358974358975
fr,nl,0.8301282051282052
fr,pl,0.8205128205128205
fr,pt,0.8653846153846154
fr,ro,0.8333333333333334
fr,ru,0.8525641025641025
fr,sl,0.7884615384615384
fr,sr,0.7788461538461539
fr,sv,0.8173076923076923
fr,uk,0.8108974358974359
fr,zh,0.7948717948717948
he,hi,0.7403846153846154
he,hr,0.7916666666666666
he,hu,0.8012820512820513
he,id,0.8044871794871795
he,it,0.8044871794871795
he,lv,0.7692307692307693
he,nl,0.8076923076923077
he,pl,0.782051282051282
he,pt,0.8108974358974359
he,ro,0.7628205128205128
he,ru,0.7884615384615384
he,sl,0.75
he,sr,0.7564102564102564
he,sv,0.7916666666666666
he,uk,0.7564102564102564
he,zh,0.7788461538461539
hi,hr,0.7692307692307693
hi,hu,0.7307692307692307
hi,id,0.782051282051282
hi,it,0.7467948717948718
hi,lv,0.6923076923076923
hi,nl,0.782051282051282
hi,pl,0.7339743589743589
hi,pt,0.782051282051282
hi,ro,0.7596153846153846
hi,ru,0.7467948717948718
hi,sl,0.7115384615384616
hi,sr,0.7435897435897436
hi,sv,0.7403846153846154
hi,uk,0.7211538461538461
hi,zh,0.7275641025641025
hr,hu,0.8141025641025641
hr,id,0.8076923076923077
hr,it,0.8108974358974359
hr,lv,0.782051282051282
hr,nl,0.842948717948718
hr,pl,0.8493589743589743
hr,pt,0.8205128205128205
