lang_a,lang_b,clcs
ar,bg,0.628428927680798
ar,bs,0.6608478802992519
ar,cs,0.6807980049875312
ar,da,0.713216957605985
ar,de,0.7032418952618454
ar,el,0.7406483790523691
ar,es,0.7256857855361596
ar,fi,0.6733167082294265
ar,fr,0.71571072319202
ar,he,0.7007481296758105
ar,hi,0.6882793017456359
ar,hr,0.6384039900249376
ar,hu,0.7281795511221946
ar,id,0.7182044887780549
ar,it,0.7206982543640897
ar,lv,0.655860349127182
ar,nl,0.6807980049875312
ar,pl,0.6882793017456359
ar,pt,0.7356608478802993
ar,ro,0.6708229426433915
ar,ru,0.713216957605985
ar,sl,0.655860349127182
ar,sr,0.6708229426433915
ar,sv,0.71571072319202
ar,uk,0.685785536159601
ar,zh,0.7182044887780549
bg,bs,0.6458852867830424
bg,cs,0.6433915211970075
bg,da,0.6458852867830424
bg,de,0.6483790523690773
bg,el,0.6408977556109726
bg,es,0.683291770573566
bg,fi,0.6359102244389028
bg,fr,0.6758104738154613
bg,he,0.6209476309226932
bg,hi,0.6034912718204489
bg,hr,0.6234413965087282
bg,hu,0.6259351620947631
bg,id,0.6483790523690773
bg,it,0.6334164588528678
bg,lv,0.6384039900249376
bg,nl,0.655860349127182
bg,pl,0.6483790523690773
bg,pt,0.6633416458852868
bg,ro,0.6334164588528678
bg,ru,0.6309226932668329
bg,sl,0.6059850374064838
bg,sr,0.6458852867830424
bg,sv,0.6907730673316709
bg,uk,0.6408977556109726
bg,zh,0.6608478802992519
bs,cs,0.71571072319202
bs,da,0.7306733167082294
bs,de,0.6982543640897756
bs,el,0.683291770573566
bs,es,0.7306733167082294
bs,fi,0.6957605985037406
bs,fr,0.7231920199501247
bs,he,0.6633416458852868
bs,hi,0.6184538653366584
bs,hr,0.7805486284289277
bs,hu,0.6982543640897756
bs,id,0.6783042394014963
bs,it,0.6957605985037406
bs,lv,0.6783042394014963
bs,nl,0.7182044887780549
bs,pl,0.7456359102244389
bs,pt,0.7082294264339152
bs,ro,0.7231920199501247
bs,ru,0.6957605985037406
bs,sl,0.6882793017456359
bs,sr,0.7182044887780549
bs,sv,0.7206982543640897
bs,uk,0.6608478802992519
bs,zh,0.6907730673316709
cs,da,0.7805486284289277
cs,de,0.7780548628428927
cs,el,0.743142144638404
cs,es,0.770573566084788
cs,fi,0.71571072319202
cs,fr,0.770573566084788
cs,he,0.7107231920199502
cs,hi,0.6733167082294265
cs,hr,0.7231920199501247
cs,hu,0.7381546134663342
cs,id,0.7281795511221946
cs,it,0.7605985037406484
cs,lv,0.7182044887780549
cs,nl,0.7780548628428927
cs,pl,0.7680798004987531
cs,pt,0.7406483790523691
cs,ro,0.7630922693266833
cs,ru,0.7406483790523691
cs,sl,0.6733167082294265
cs,sr,0.7082294264339152
cs,sv,0.7680798004987531
cs,uk,0.7306733167082294
cs,zh,0.7531172069825436
da,de,0.7855361596009975
da,el,0.7381546134663342
da,es,0.7655860349127181
da,fi,0.7381546134663342
da,fr,0.770573566084788
da,he,0.7281795511221946
da,hi,0.6683291770573566
da,hr,0.7007481296758105
da,hu,0.7306733167082294
da,id,0.7182044887780549
da,it,0.7805486284289277
da,lv,0.7007481296758105
da,nl,0.773067331670823
da,pl,0.7281795511221946
da,pt,0.7780548628428927
da,ro,0.7630922693266833
da,ru,0.7231920199501247
da,sl,0.683291770573566
da,sr,0.7256857855361596
da,sv,0.8029925187032418
da,uk,0.7206982543640897
da,zh,0.7356608478802993
de,el,0.7556109725685786
de,es,0.7880299251870324
de,fi,0.7231920199501247
de,fr,0.7830423940149626
