lang_a,lang_b,clcs
ar,bg,0.625250501002004
ar,bs,0.6472945891783567
ar,cs,0.6773547094188377
ar,da,0.6893787575150301
ar,de,0.6653306613226453
ar,el,0.6432865731462926
ar,en,0.655310621242485
ar,es,0.6653306613226453
ar,fi,0.5771543086172345
ar,fr,0.6633266533066132
ar,he,0.6132264529058116
ar,hi,0.5691382765531062
ar,hr,0.655310621242485
ar,hu,0.6092184368737475
ar,id,0.6673346693386774
ar,it,0.6513026052104208
ar,lv,0.6192384769539078
ar,nl,0.6713426853707415
ar,pl,0.6452905811623246
ar,pt,0.6673346693386774
ar,ro,0.6472945891783567
ar,ru,0.6793587174348698
ar,sl,0.6513026052104208
ar,sr,0.6533066132264529
ar,sv,0.6793587174348698
ar,uk,0.6492985971943888
ar,zh,0.6392785571142284
bg,bs,0.5871743486973948
bg,cs,0.6172344689378757
bg,da,0.6192384769539078
bg,de,0.6172344689378757
bg,el,0.6072144288577155
bg,en,0.5971943887775552
bg,es,0.6172344689378757
bg,fi,0.5651302605210421
bg,fr,0.6452905811623246
bg,he,0.627254509018036
bg,hi,0.5851703406813628
bg,hr,0.6292585170340681
bg,hu,0.5250501002004008
bg,id,0.6332665330661322
bg,it,0.627254509018036
bg,lv,0.5891783567134269
bg,nl,0.6412825651302605
bg,pl,0.6292585170340681
bg,pt,0.6332665330661322
bg,ro,0.6452905811623246
bg,ru,0.6472945891783567
bg,sl,0.6072144288577155
bg,sr,0.6372745490981964
bg,sv,0.625250501002004
bg,uk,0.6192384769539078
bg,zh,0.6012024048096193
bs,cs,0.7054108216432866
bs,da,0.6753507014028056
bs,de,0.6472945891783567
bs,el,0.6312625250501002
bs,en,0.6352705410821643
bs,es,0.625250501002004
bs,fi,0.6232464929859719
bs,fr,0.6472945891783567
bs,he,0.6112224448897795
bs,hi,0.5691382765531062
bs,hr,0.8416833667334669
bs,hu,0.6633266533066132
bs,id,0.6412825651302605
bs,it,0.6372745490981964
bs,lv,0.6372745490981964
bs,nl,0.6693386773547094
bs,pl,0.685370741482966
bs,pt,0.6432865731462926
bs,ro,0.6633266533066132
bs,ru,0.6753507014028056
bs,sl,0.6893787575150301
bs,sr,0.7034068136272545
bs,sv,0.6773547094188377
bs,uk,0.6733466933867736
bs,zh,0.5951903807615231
cs,da,0.7414829659318637
cs,de,0.7274549098196392
cs,el,0.6513026052104208
cs,en,0.6432865731462926
cs,es,0.6492985971943888
cs,fi,0.6633266533066132
cs,fr,0.7034068136272545
cs,he,0.6032064128256514
cs,hi,0.6052104208416834
cs,hr,0.7294589178356713
cs,hu,0.7314629258517034
cs,id,0.6613226452905812
cs,it,0.6893787575150301
cs,lv,0.6753507014028056
cs,nl,0.7234468937875751
cs,pl,0.7214428857715431
cs,pt,0.6793587174348698
cs,ro,0.6593186372745491
cs,ru,0.7034068136272545
cs,sl,0.7234468937875751
cs,sr,0.6993987975951904
cs,sv,0.7474949899799599
cs,uk,0.7394789579158316
cs,zh,0.6152304609218436
da,de,0.7715430861723447
da,el,0.6693386773547094
da,en,0.7414829659318637
da,es,0.7434869739478958
da,fi,0.6593186372745491
da,fr,0.7855711422845691
da,he,0.6352705410821643
da,hi,0.6212424849699398
da,hr,0.7274549098196392
da,hu,0.6472945891783567
da,id,0.7114228456913828
da,it,0.7194388777555111
da,lv,0.7034068136272545
da,nl,0.7274549098196392
da,pl,0.6953907815631263
da,pt,0.7194388777555111
da,ro,0.6993987975951904
da,ru,0.7134268537074149
da,sl,0.717434869739479
da,sr,0.687374749498998
da,sv,0.7715430861723447
da,uk,0.6813627254509018
da,zh,0.6793587174348698
de,el,0.6292585170340681
de,en,0.7555110220440882
de,es,0.7354709418837675
de,fi,0.591182364729459
de,fr,0.7434869739478958
de,he,0.6432865731462926
de,hi,0.6212424849699398
de,hr,0.6833667334669339
de,hu,0.6372745490981964
de,id,0.7074148296593187
de,it,0.7014028056112225
de,lv,0.6753507014028056
de,nl,0.7414829659318637
de,pl,0.6793587174348698
de,pt,0.6813627254509018
de,ro,0.7074148296593187
de,ru,0.6733466933867736
de,sl,0.7034068136272545
de,sr,0.655310621242485
de,sv,0.7054108216432866
de,uk,0.685370741482966
de,zh,0.6913827655310621
el,en,0.6452905811623246
el,es,0.6192384769539078
el,fi,0.5891783567134269
el,fr,0.6893787575150301
el,he,0.6012024048096193
el,hi,0.5891783567134269
el,hr,0.6372745490981964
el,hu,0.5991983967935872
el,id,0.6312625250501002
el,it,0.6773547094188377
el,lv,0.6092184368737475
el,nl,0.6813627254509018
el,pl,0.657314629258517
el,pt,0.6292585170340681
el,ro,0.6693386773547094
el,ru,0.6533066132264529
el,sl,0.6733466933867736
el,sr,0.6292585170340681
el,sv,0.6533066132264529
el,uk,0.6533066132264529
el,zh,0.5651302605210421
en,es,0.7895791583166333
en,fi,0.6513026052104208
en,fr,0.7675350701402806
en,he,0.6492985971943888
en,hi,0.6372745490981964
en,hr,0.6713426853707415
en,hu,0.5410821643286573
en,id,0.7695390781563126
en,it,0.7595190380761523
en,lv,0.6613226452905812
en,nl,0.6813627254509018
en,pl,0.6593186372745491
en,pt,0.6893787575150301
en,ro,0.6893787575150301
en,ru,0.6593186372745491
en,sl,0.6432865731462926
en,sr,0.6372745490981964
en,sv,0.6913827655310621
en,uk,0.6673346693386774
en,zh,0.7655310621242485
es,fi,0.6513026052104208
es,fr,0.7835671342685371
es,he,0.6693386773547094
es,hi,0.6392785571142284
es,hr,0.6533066132264529
es,hu,0.5450901803607214
es,id,0.7535070140280561
es,it,0.7755511022044088
es,lv,0.6633266533066132
es,nl,0.7054108216432866
es,pl,0.6452905811623246
es,pt,0.7675350701402806
es,ro,0.6773547094188377
es,ru,0.6733466933867736
es,sl,0.655310621242485
es,sr,0.6653306613226453
es,sv,0.6953907815631263
es,uk,0.6352705410821643
es,zh,0.7414829659318637
fi,fr,0.6432865731462926
fi,he,0.6172344689378757
fi,hi,0.6132264529058116
fi,hr,0.6372745490981964
fi,hu,0.5430861723446894
fi,id,0.6212424849699398
fi,it,0.6492985971943888
fi,lv,0.655310621242485
fi,nl,0.627254509018036
fi,pl,0.6112224448897795
fi,pt,0.6412825651302605
fi,ro,0.6192384769539078
fi,ru,0.6513026052104208
fi,sl,0.6032064128256514
fi,sr,0.625250501002004
fi,sv,0.6633266533066132
fi,uk,0.6132264529058116
fi,zh,0.6092184368737475
fr,he,0.657314629258517
fr,hi,0.6452905811623246
fr,hr,0.6793587174348698
fr,hu,0.6032064128256514
fr,id,0.717434869739479
fr,it,0.7675350701402806
fr,lv,0.6653306613226453
fr,nl,0.717434869739479
fr,pl,0.6733466933867736
fr,pt,0.7394789579158316
fr,ro,0.7314629258517034
fr,ru,0.6833667334669339
fr,sl,0.6793587174348698
