lang,mean_clcs,n_pairs
bg,0.6430078649530022,26
hi,0.6645885286783042,26
sl,0.6770573566084788,26
lv,0.6798388643775177,26
hr,0.6880874736236332,26
ar,0.693362746978707,26
fi,0.6966238250527528,26
bs,0.6987339343947823,26
he,0.706790715518895,26
sr,0.7076539420679071,26
uk,0.7109150201419527,26
id,0.7135046997889891,26
el,0.7219451371571073,26
ro,0.72213696527911,26
ru,0.7252062152311528,26
hu,0.7258776136581623,26
pl,0.7273163245731825,26
zh,0.7273163245731825,26
cs,0.733646652599271,26
it,0.7348935353922885,26
da,0.7357567619413007,26
pt,0.7380586994053329,26
nl,0.740360636869365,26
de,0.745923652407443,26
es,0.7469787070784577,26
sv,0.7499520429694994,26
fr,0.7504316132745061,26
