lang,mean_clcs,n_pairs
hi,0.6930898834706449,27
lv,0.7047428189712759,27
bg,0.7097157277517999,27
he,0.7115712907296073,27
ar,0.7205522155421955,27
zh,0.7233726712684628,27
el,0.7379202850144734,27
fi,0.7494247754768796,27
sr,0.7600385957099384,27
id,0.7604839308246122,27
uk,0.7630817189935427,27
hu,0.763675499146441,27
sl,0.7651599495286869,27
bs,0.769613300675425,27
sv,0.7707266384621094,27
pl,0.7716173086914571,27
ro,0.7720626438061308,27
de,0.774586209455949,27
cs,0.7794848957173607,27
nl,0.7802271209084837,27
hr,0.7819342388480665,27
ru,0.7823795739627403,27
da,0.7853484747272323,27
fr,0.7863875899948044,27
es,0.7921769464855637,27
it,0.7928449491575743,27
en,0.7998218659541304,27
pt,0.8005640911452535,27
