lang,mean_clcs,n_pairs
hi,0.6013508498478438,27
hu,0.6067690937430416,27
bg,0.6148593483262822,27
fi,0.6228011578712981,27
he,0.6230980479477474,27
el,0.6364581013879612,27
zh,0.6446968010094262,27
ar,0.6472945891783567,27
lv,0.6525643880353299,27
bs,0.6556075113189342,27
sr,0.6596897498701105,27
uk,0.6597639723892229,27
pl,0.6634750983448379,27
sl,0.6669635567431158,27
ro,0.6717137979663029,27
pt,0.672975580791212,27
id,0.6755733689601425,27
ru,0.676686706746827,27
hr,0.6777258220143991,27
en,0.6798040525495436,27
es,0.6829956208713723,27
de,0.6843316262153937,27
cs,0.6847027388109552,27
nl,0.6870036369034366,27
it,0.6890818674385808,27
sv,0.6898240926297038,27
fr,0.6976174571364951,27
da,0.7019965857641208,27
