lang_pair,clcs_opus,clcs_nllb
bg-hi,0.22666666666666666,0.6133333333333334
bg-he,0.26666666666666666,0.6266666666666667
bg-hr,0.39333333333333337,0.6733333333333333
bg-bs,0.3666666666666667,0.6133333333333334
bg-ru,0.4266666666666667,0.6733333333333333
bg-da,0.3866666666666667,0.6333333333333333
bg-sr,0.46,0.7000000000000001
bg-fr,0.43333333333333335,0.6666666666666666
he-hi,0.37333333333333335,0.5933333333333334
hi-it,0.44,0.66
bg-uk,0.44,0.6533333333333333
bg-id,0.4266666666666667,0.64
bg-it,0.4200000000000001,0.6333333333333333
bg-ro,0.4266666666666667,0.6333333333333333
bg-pl,0.44,0.6466666666666666
bg-zh,0.4000000000000001,0.6066666666666667
hi-lv,0.49333333333333335,0.6999999999999998
bg-de,0.42,0.62
bg-lv,0.38000000000000006,0.58
bg-pt,0.44,0.6333333333333334
bg-el,0.41333333333333333,0.6066666666666667
hi-id,0.49333333333333335,0.6866666666666666
bg-es,0.3866666666666667,0.58
bg-sl,0.4266666666666667,0.6133333333333333
bg-sv,0.4066666666666667,0.58
bg-nl,0.43999999999999995,0.6066666666666667
ar-bg,0.4266666666666667,0.5933333333333334
es-hi,0.48,0.64
bg-cs,0.4466666666666666,0.6066666666666666
bg-hu,0.4466666666666667,0.6066666666666666
fr-hi,0.4533333333333333,0.6066666666666667
ar-it,0.52,0.6733333333333333
sl-sv,0.7133333333333334,0.5666666666666667
bg-fi,0.48,0.62
da-hi,0.5,0.64
fi-hi,0.48,0.62
id-nl,0.6066666666666666,0.7400000000000001
hi-uk,0.48666666666666664,0.62
hi-ro,0.45999999999999996,0.5866666666666667
he-uk,0.5333333333333333,0.66
id-zh,0.6133333333333333,0.7399999999999999
it-sv,0.7200000000000001,0.6
pt-sv,0.7200000000000001,0.6
hi-sv,0.48666666666666664,0.6066666666666667
lv-sl,0.66,0.54
hi-zh,0.48,0.6
he-hu,0.62,0.5000000000000001
id-lv,0.5066666666666667,0.6266666666666666
