lang,mean_clcs,n_pairs
bg,0.7207748830995323,27
hi,0.7463816521932755,27
ar,0.763675499146441,27
sr,0.7676092926593929,27
uk,0.7705781934238848,27
bs,0.77139464113412,27
el,0.7716173086914571,27
he,0.7716173086914571,27
lv,0.7824537964818525,27
zh,0.7875751503006012,27
sl,0.7912862762562162,27
id,0.7951458472500557,27
cs,0.7990796407630074,27
fi,0.8006383136643658,27
hu,0.8058338900022266,27
fr,0.8061307800786759,27
ro,0.807392562903585,27
sv,0.8091739033622801,27
ru,0.8104356861871892,27
de,0.8112521338974246,27
hr,0.8157054850441624,27
pt,0.8160765976397238,27
pl,0.8174126029837453,27
es,0.8191939434424405,27
it,0.8199361686335634,27
da,0.8209010613820233,27
nl,0.8231277369553922,27
en,0.8308468789430713,27
